Station,Fee,Category,Partner,Network,Total,Special Fee,Notes
Heat (South Yorks) DAB Onlyÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,40 ,DAB Only,,,Total Heat,,
Heat (Teeside) DAB Onlyÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,40 ,DAB Only,,,Total Heat,,
Heat (Tyne & Wear) DAB Onlyÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,40 ,DAB Only,,,Total Heat,,
Heat (Bradford and Huddersfield) DAB Onlyÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,50 ,DAB Only,,,Total Heat,,
Heat (Stoke on Trent) DAB Onlyÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,50 ,DAB Only,,,Total Heat,,
Heat (Swansea) DAB Onlyÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,50 ,DAB Only,,,Total Heat,,
The Hits (London only) DAB Only,150 ,DAB Only,,,,,
Jazz FM (Glasgow) DAB Onlyÿÿÿÿÿÿÿÿÿÿ,50 ,DAB Only,,,Total Jazz,,
Jazz FM (London) DAB Onlyÿÿÿÿÿÿÿÿÿÿ,55 ,DAB Only,,,Total Jazz,,
Jazz FM (North West) DAB Onlyÿÿÿÿÿÿÿÿÿÿ,40 ,DAB Only,,,Total Jazz,,
Jazz FM (Wales and West) DAB Onlyÿÿÿÿÿÿÿÿÿÿ,40 ,DAB Only,,,Total Jazz,,
Jazz FM (West Midlands) DAB Onlyÿÿÿÿÿÿÿÿÿÿ,40 ,DAB Only,,,Total Jazz,,
Kerrang (Aberdeen) DAB Only,55,DAB Only,,,Total Kerrang,,
Kerrang (Central Lancs) DAB Only,40,DAB Only,,,Total Kerrang,,
Kerrang (Central Scotland) DAB Only,55,DAB Only,,,Total Kerrang,,
Kerrang (Humberside) DAB Only,40,DAB Only,,,Total Kerrang,,
Kerrang (Leeds) DAB Only,50,DAB Only,,,Total Kerrang,,
Kerrang (Liverpool) DAB Only,50,DAB Only,,,Total Kerrang,,
Kerrang (London) DAB Only,50,DAB Only,,,Total Kerrang,,
Kerrang (Manchester) DAB Only,50,DAB Only,,,Total Kerrang,,
Kerrang (South Yorks) DAB Only,40,DAB Only,,,Total Kerrang,,
Kerrang (Teeside) DAB Only,40,DAB Only,,,Total Kerrang,,
Kerrang (Tyne and Wear) DAB Only,40,DAB Only,,,Total Kerrang,,
Kismat Radio (Bradford and Huddersfield) DAB Only,50,DAB Only,,,,,
Kiss (Bournemouth) DAB Only,50,DAB Only,,,Total Kiss,,
Kiss (Bristol & Bath) DAB Only,50,DAB Only,,,Total Kiss,,
Kiss (Central Lancashire) DAB Only,40,DAB Only,,,Total Kiss,,
Kiss (Coventry) DAB Only,50,DAB Only,,,Total Kiss,,
Kiss (Exeter/Torbay) DAB Only,50,DAB Only,,,Total Kiss,,
Kiss (Humberside) DAB Only,40,DAB Only,,,Total Kiss,,
Kiss (Leeds) DAB Only,50,DAB Only,,,Total Kiss,,
Kiss (Liverpool) DAB Only,50,DAB Only,,,Total Kiss,,
Kiss (Manchester) DAB Only,50,DAB Only,,,Total Kiss,,
Kiss (Plymouth & Cornwall) DAB Only,40,DAB Only,,,Total Kiss,,
Kiss (Reading & Basingstoke) DAB Only,50,DAB Only,,,Total Kiss,,
Kiss (South Yorkshire) DAB Only,40,DAB Only,,,Total Kiss,,
Kiss (Southend/ Chelmsford) DAB Only,50,DAB Only,,,Total Kiss,,
Kiss (Swindon/ West Wiltshire) DAB Only,50,DAB Only,,,Total Kiss,,
Kiss (Teeside) DAB Only,40,DAB Only,,,Total Kiss,,
Kiss (Tyne & Wear) DAB Only,40,DAB Only,,,Total Kiss,,
Kiss (Wolverhampton) DAB Only,40,DAB Only,,,Total Kiss,,
LBC (North East) DAB Only,40,DAB Only,,,Total LBC,,
LBC (North West) DAB Only,40,DAB Only,,,Total LBC,,
LBC (South Wales & West) DAB Only,40,DAB Only,,,Total LBC,,
LBC (West Midlands) DAB Only,40,DAB Only,,,Total LBC,,
LBC (Yorkshire) DAB Only,40,DAB Only,,,Total LBC,,
Magic (Aberdeen) DAB Only,50,DAB Only,,,,,
Magic (Ayr) DAB Only,40,DAB Only,,,,,
Magic (Birmingham) DAB Only,50,DAB Only,,,,,
Magic (Bradford/ Huddersfield) DAB Only,50,DAB Only,,,,,
Magic (Cambridge) DAB Only,50,DAB Only,,,,,
Magic (Dundee/ Perth) DAB Only,50,DAB Only,,,,,
Magic (Edinburgh) DAB Only,50,DAB Only,,,,,
Magic (Glasgow) DAB Only,50,DAB Only,,,,,
Magic (Kent) DAB Only,40,DAB Only,,,,,
Magic (Northern Ireland) DAB Only,40,DAB Only,,,,,
Magic (Norwich) DAB Only,50,DAB Only,,,,,
Magic (Peterborough) DAB Only,50,DAB Only,,,,,
Magic (Stoke on Trent) DAB Only,50,DAB Only,,,,,
Magic (Sussex Coast) DAB Only,40,DAB Only,,,,,
Magic (Swansea) DAB Only,50,DAB Only,,,,,
Masti Radio (Bradford & Huddersfield) DAB Only,50 ,DAB Only,,,,,
NME Radio DAB Only,150 ,DAB Only,,,,,
Our Kind of Music (Bristol & Bath) DAB Only,50 ,DAB Only,,,Total Our Kind of Music,,
Our Kind of Music (Reading & Basingstoke) DAB Only,50 ,DAB Only,,,Total Our Kind of Music,,
Our Kind of Music (Southend & Chelmsford) DAB Only,50 ,DAB Only,,,Total Our Kind of Music,,
Our Kind of Music (Swindon) DAB Only,50 ,DAB Only,,,Total Our Kind of Music,,
Panjab Radio (Bradford & Huddersfield) DAB Only,50 ,DAB Only,,,,,
Panjab Radio (London) DAB Only,55 ,DAB Only,,,,,
Panjab Radio (West Midlands) DAB Only,40 ,DAB Only,,,,,
Passion for the Planet (Bristol & Bath) DAB Only,50 ,DAB Only,,,Total Passion for the Planet,,
Passion for the Planet (Exeter & Torbay) DAB Only,50 ,DAB Only,,,Total Passion for the Planet,,
Passion for the Planet (London) DAB Only,55 ,DAB Only,,,Total Passion for the Planet,,
Passion for the Planet (Peterborough) DAB Only,50 ,DAB Only,,,Total Passion for the Planet,,
Passion for the Planet (Southend & Chelmsford) DAB Only,50 ,DAB Only,,,Total Passion for the Planet,,
Planet Rock DAB Only,150 ,DAB Only,,,,,
Polish Radio London DAB Only,55 ,DAB Only,,,,,
Punjabi Radio (Coventry) DAB Only,50 ,DAB Only,,,,,
Punjabi Radio (London) DAB Only,55 ,DAB Only,,,,,
Punjabi Radio (Wolverhampton) DAB Only,50 ,DAB Only,,,,,
Q Radio (London) DAB Only,55 ,DAB Only,,,,,
Rainbow Radio (London) DAB Only,55 ,DAB Only,,,,,
Rock Radio (Edinburgh) Dab Only,50 ,DAB Only,,,,,
Rock Radio (North East/ Manchester) Dab Only,50 ,DAB Only,,,,,
Smash Hits (London only) DAB Only,150 ,DAB Only,,,,,
Smooth Radio (Yorkshire) DAB Only,40,DAB Only,,,Total Smooth,,
Sout-al-Khaleej (Voice of the Gulf) DAB Only,55,DAB Only,,,,,
Sunrise (Birmingham) DAB Only,50,DAB Only,,,Total Sunrise,,
Sunrise (Coventry) DAB Only,50,DAB Only,,,Total Sunrise,,
Sunrise (Edinburgh) DAB Only,50,DAB Only,,,Total Sunrise,,
Sunrise (Glasgow) DAB Only,50,DAB Only,,,Total Sunrise,,
Sunrise (Wolverhampton) DAB Only,50,DAB Only,,,Total Sunrise,,
Traffic Radio (Birmingham) DAB Only,50 ,DAB Only,,,Total Traffic Radio,,
Traffic Radio (Bournemouth) DAB Only,50 ,DAB Only,,,Total Traffic Radio,,
Traffic Radio (Bradford & Huddersfield) DAB Only,50 ,DAB Only,,,Total Traffic Radio,,
Traffic Radio (Bristol & Bath) DAB Only,50 ,DAB Only,,,Total Traffic Radio,,
Traffic Radio (Cambridge) DAB Only,50 ,DAB Only,,,Total Traffic Radio,,
Traffic Radio (Central Lancashire) DAB Only,40 ,DAB Only,,,Total Traffic Radio,,
Traffic Radio (Coventry) DAB Only,50 ,DAB Only,,,Total Traffic Radio,,
Traffic Radio (Exeter & Torbay) DAB Only,50 ,DAB Only,,,Total Traffic Radio,,
Traffic Radio (Humberside) DAB Only,40 ,DAB Only,,,Total Traffic Radio,,
Traffic Radio (Kent) DAB Only,40 ,DAB Only,,,Total Traffic Radio,,
Traffic Radio (Leeds) DAB Only,50 ,DAB Only,,,Total Traffic Radio,,
Traffic Radio (Leicester) DAB Only,50 ,DAB Only,,,Total Traffic Radio,,
Traffic Radio (Liverpool) DAB Only,50 ,DAB Only,,,Total Traffic Radio,,
Traffic Radio (London) DAB Only,55 ,DAB Only,,,Total Traffic Radio,,
Traffic Radio (Manchester) DAB Only,50 ,DAB Only,,,Total Traffic Radio,,
Traffic Radio (Nottingham) DAB Only,50 ,DAB Only,,,Total Traffic Radio,,
Traffic Radio (Norwich) DAB Only,50 ,DAB Only,,,Total Traffic Radio,,
Traffic Radio (Peterborough) DAB Only,50 ,DAB Only,,,Total Traffic Radio,,
Traffic Radio (Plymouth & Cornwall) DAB Only,50 ,DAB Only,,,Total Traffic Radio,,
Traffic Radio (Reading & Basingstoke) DAB Only,50 ,DAB Only,,,Total Traffic Radio,,
Traffic Radio (South Hampshire) DAB Only,40 ,DAB Only,,,Total Traffic Radio,,
Traffic Radio (South Yorkshire) DAB Only,40 ,DAB Only,,,Total Traffic Radio,,
Traffic Radio (Southend & Chelmsford) DAB Only,50 ,DAB Only,,,Total Traffic Radio,,
Traffic Radio (Stoke) DAB Only,50 ,DAB Only,,,Total Traffic Radio,,
Traffic Radio (Sussex Coast) DAB Only,40 ,DAB Only,,,Total Traffic Radio,,
Traffic Radio (Swindon & West Wiltshire) DAB Only,50 ,DAB Only,,,Total Traffic Radio,,
Traffic Radio (Teeside) DAB Only,40 ,DAB Only,,,Total Traffic Radio,,
Traffic Radio (Tyne & Wear) DAB Only,40 ,DAB Only,,,Total Traffic Radio,,
Traffic Radio (Wolverhampton) DAB Only,50 ,DAB Only,,,Total Traffic Radio,,
UCB Inspirational (North East) DAB Only ,40 ,DAB Only,,,,,
UCB Inspirational (North West) DAB Only ,40 ,DAB Only,,,,,
UCB Inspirational (West Midlands) DAB Only ,40 ,DAB Only,,,,,
UCB Inspirational (Yorkshire) DAB Only ,40 ,DAB Only,,,,,
UCB Inspirational (Wales & West) DAB Only ,40 ,DAB Only,,,,,
UCB UK (London) DAB Only,55 ,DAB Only,,,,,
UCB UK (North East) DAB Only,40 ,DAB Only,,,,,
UCB UK (North West) DAB Only,40 ,DAB Only,,,,,
UCB UK (Northern Ireland) DAB Only,40 ,DAB Only,,,,,
UCB UK (Stoke on Trent) DAB Only,50 ,DAB Only,,,,,
UCB UK (Wales & West) DAB Only,40 ,DAB Only,,,,,
UCB UK (West Midlands) DAB Only,40 ,DAB Only,,,,,
UCB UK (Yorkshire) DAB Only,40 ,DAB Only,,,,,
XFM Manchester (Central Lancashire) DAB Only,40 ,DAB Only,,,Total XFM,,
XFM Manchester (Leeds) DAB Only,50,DAB Only,,,Total XFM,,
XFM Manchester (Liverpool) DAB Only,50,DAB Only,,,Total XFM,,
XFM Manchester (Manchester) DAB Only,50,DAB Only,,,Total XFM,,
XFM UK (Birmingham) DAB Only,50,DAB Only,,,Total XFM,,
XFM UK (Bournemouth) DAB Only,50,DAB Only,,,Total XFM,,
XFM UK (Cambridge) DAB Only,50,DAB Only,,,Total XFM,,
XFM UK (Central Scotland) DAB Only,40,DAB Only,,,Total XFM,,
XFM UK (Coventry) DAB Only,50,DAB Only,,,Total XFM,,
XFM UK (Exeter & Torbay) DAB Only,50,DAB Only,,,Total XFM,,
XFM UK (Humberside) DAB Only,40,DAB Only,,,Total XFM,,
XFM UK (Leicester) DAB Only,50,DAB Only,,,Total XFM,,
XFM UK (Norwich) DAB Only,50,DAB Only,,,Total XFM,,
XFM UK (Nottingham) DAB Only,50,DAB Only,,,Total XFM,,
XFM UK (Peterborough) DAB Only,50,DAB Only,,,Total XFM,,
XFM UK (Plymouth & Cornwall) DAB Only,50,DAB Only,,,Total XFM,,
XFM UK (Reading & Basingstoke) DAB Only,50,DAB Only,,,Total XFM,,
XFM UK (Southend & Chelmsford) DAB Only,50,DAB Only,,,Total XFM,,
XFM UK (South Hampshire) DAB Only,40,DAB Only,,,Total XFM,,
XFM UK (South Wales) DAB Only,40,DAB Only,,,Total XFM,,
XFM UK (South Yorkshire) DAB Only,40,DAB Only,,,Total XFM,,
XFM UK (Swindon & W Wiltshire) DAB Only,50,DAB Only,,,Total XFM,,
XFM UK (Teeside) DAB Only,40,DAB Only,,,Total XFM,,
XFM UK (Tyne & Wear) DAB Only,40,DAB Only,,,Total XFM,,
XFM UK (West Sussex) DAB Only,40,DAB Only,,,Total XFM,,
XFM UK (Wolverhampton) DAB Only,50,DAB Only,,,Total XFM,,
Yorkshire Radio DAB Only,50 ,DAB Only,,,,,
